ds,yhat,yhat_lower,yhat_upper
2023-10-19,438.87382019742796,-247.3510951119468,1148.6776682141349
2023-10-20,465.0674670375035,-261.39037592374314,1157.640794613201
2023-10-21,526.9690968336712,-147.98583300848924,1237.8385115943563
2023-10-22,426.28514899169545,-245.70909860832842,1199.8979802118138
2023-10-23,482.8305971546273,-255.6495705987791,1184.6245303503922
2023-10-24,432.6667896768559,-275.76845468448244,1145.217116562494
2023-10-25,424.33882394955356,-321.7230179491158,1114.3240611880985
2023-10-26,439.0288859323207,-271.30892542415097,1150.049008742928
2023-10-27,465.22253276152907,-226.9700498692037,1208.1728122125865
2023-10-29,426.44021470468863,-291.18955547087165,1129.8587053024246
2023-10-30,482.9856628676333,-223.25271403474645,1184.1763054127334
2023-10-31,432.8218553897121,-304.84375990958347,1145.4837174115564
2023-11-01,424.49388966226854,-287.3582705093061,1159.7852448588553
2023-11-02,439.1839516456659,-273.7471660769042,1150.3646066995675
2023-11-03,465.37759847454976,-269.9699702734597,1137.1642386949047
2023-11-04,527.2792282597487,-156.3494326492205,1282.7185522714265
2023-11-05,426.5952804178272,-288.48234141696014,1130.6405173874198
2023-11-06,483.1407285807589,-214.65831590287377,1178.2316815145496
2023-11-07,432.976921102767,-323.5970564493114,1116.76579191824
2023-11-08,424.6489553754607,-300.9726794303622,1155.8876975920941
2023-11-09,439.33901735835605,-359.520479467384,1167.1718298485127
2023-11-10,465.53266418757045,-311.0377154571971,1182.146986398287
2023-11-12,426.7503461308204,-290.4195397284034,1127.6656807440527
2023-11-13,483.2957942936452,-199.14570174525122,1218.3263814388276
2023-11-14,433.13198681582196,-227.46653916070784,1158.0936566089113
2023-11-15,424.80402108851655,-269.6359308953408,1130.9807996972338
2023-11-16,439.49408307147013,-286.46228637868245,1141.2206859924133
2023-11-17,465.687729900769,-205.1760690615971,1182.7353616808552
2023-11-18,527.5893596857111,-156.45679739607897,1237.893067016274
2023-11-19,426.90541184381357,-269.0451855712142,1126.2845373168325
2023-11-20,483.45086000673354,-257.03451380652115,1159.5637179254697
2023-11-21,433.2870525288769,-258.89021646189315,1103.1521843246833
2023-11-22,424.9590868014701,-328.36521676768007,1154.6479421926906
2023-11-23,439.6491487843531,-266.3942671035481,1165.7871323279192
2023-11-24,465.8427956136119,-230.35177010738064,1148.385677523324
2023-11-25,527.744425398737,-130.75161596663023,1288.0809777443546
2023-11-26,427.0604775568403,-317.304653748953,1083.422634562485
2023-11-27,483.6059257197395,-287.92347766144735,1185.615668892937
2023-11-28,433.44211824173317,-318.4754059909534,1156.0975059086477
2023-11-29,425.11415251442367,-286.4358971856009,1143.9998817091432
2023-11-30,439.80421449723605,-265.91056161249725,1174.0838728427502
2023-12-01,465.9978613266191,-243.99290279427993,1207.705778372857
2023-12-02,527.8994911119673,-224.98965921021954,1231.3057431236912
2023-12-03,427.21554326983346,-257.6969898413849,1084.1669951046538
2023-12-04,483.7609914328651,-231.74921738567593,1181.5367806260006
2023-12-05,433.59718395498686,-264.38588505847434,1173.3122881550096
2023-12-06,425.26921822747954,-256.57638541593195,1197.9043518676854
2023-12-07,439.95928021058126,-265.57418235255983,1168.7468452850796
2023-12-08,466.15292703963974,-205.4975632872371,1172.9982846057467
2023-12-09,528.0545568249039,-179.8380983730409,1217.5050003035167
2023-12-10,427.37060898284346,-285.4674667894756,1131.8645009602217
2023-12-11,483.91605714599075,-270.8328173434071,1204.9882787725003
2023-12-12,433.7522496679352,-266.3035161007947,1137.990858508214
2023-12-13,425.4242839404331,-317.7728378794454,1142.1312620932076
2023-12-14,440.1143459234642,-305.8717778750849,1125.4916652410361
2023-12-15,466.30799275283835,-253.52043965868356,1148.4227577124288
2023-12-16,528.2096225379297,-175.47506074446179,1209.160709429142
2023-12-17,427.5256746959652,-296.1176384792193,1131.42152526778
2023-12-18,484.0711228588771,-228.46643868598028,1179.4891361747575
2023-12-19,433.907315381189,-309.37864882741127,1141.9373186875855
2023-12-20,425.57934965362523,-230.81526890913418,1097.4064949171736
2023-12-21,440.2694116365782,-215.34963156249609,1160.1791551305453
2023-12-22,466.46305846603684,-241.43540718357443,1197.636383577608
2023-12-23,528.3646882508663,-220.1004642395063,1240.7160812124164
2023-12-24,427.68074040897517,-261.1411106110871,1167.0121064680368
2023-12-25,484.2261885720027,-262.3707043474515,1223.4454350014375
2023-12-26,434.0623810940451,-270.5319993121274,1155.3575846567906
2023-12-27,425.7344153665788,-304.5942928669246,1084.8759825288214
2023-12-28,440.42447734949945,-263.14178721031635,1179.0157591877996
2023-12-29,466.61812417887967,-241.42386443095094,1179.6253573879233
2023-12-31,427.8358061219684,-254.85761522356702,1113.2022735849753
2024-01-01,484.3812542850087,-209.21098068855477,1211.8862855688244
2024-01-02,434.21744680719223,-239.8745342239262,1122.1466906348505
2024-01-03,425.8894810797709,-307.57930478158283,1173.8431862654577
2024-01-04,440.57954306261354,-225.5288463049958,1176.4634313862339
2024-01-05,466.7731898915313,-277.70105566926713,1192.9899083612395
2024-01-06,528.674819676918,-185.2904970975996,1282.5983623860254
2024-01-07,427.99087183497835,-311.8115627970553,1135.1992857242772
2024-01-08,484.53631999797744,-295.606518913929,1119.9052556661827
2024-01-09,434.3725125202472,-220.27662794393822,1161.195164389487
2024-01-10,426.04454679248596,-273.8558718440235,1164.1009404523397
2024-01-11,440.7346087754965,-305.61156346550706,1174.0630065280334
2024-01-12,466.92825560472977,-231.55118448343643,1174.627589931102
2024-01-13,528.8298853900591,-143.56437907798423,1243.2004644869335
2024-01-14,428.1459375479715,-323.25199537464124,1073.1070371796336
2024-01-15,484.69138571098335,-192.41049888786577,1209.0249158872027
2024-01-16,434.52757823330217,-229.5741466141319,1175.1932783586303
2024-01-17,426.1996125056781,-226.39299494216948,1169.734655438373
2024-01-18,440.8896744886106,-291.35557671271886,1176.8169719424898
2024-01-19,467.0833213179283,-244.71521125721836,1187.82594027669
2024-01-20,528.984951103085,-184.6225437395446,1198.627489875106
2024-01-21,428.30100326099824,-252.41115784269022,1118.8777948308723
2024-01-22,484.8464514239894,-237.28218708477726,1260.7546460395843
2024-01-23,434.6826439461583,-232.3066064685946,1126.2390626023066
2024-01-24,426.3546782187339,-321.9757956910143,1142.7533420732846
2024-01-25,441.04474020149354,-274.0508960223157,1132.1738614234603
2024-01-26,467.23838703094907,-235.2200818985175,1175.2769685785333
2024-01-27,529.1400168161108,-209.9816390349628,1225.606336263677
2024-01-28,428.45606897399136,-295.3425440763889,1147.5811311080934
2024-01-29,485.00151713695806,-239.65487027870955,1191.4671132120536
2024-01-30,434.83770965901454,-263.83787841086746,1130.8504655463114
2024-01-31,426.5097439316875,-310.4263172109903,1136.4516732383993
